Capture.ID,Animal.ID,ODFW.ID,SN,pop,subpop,age,sex,surv_to_8_months,Notes,A1,A2,A3,A4,A5,A6,A7,A8,AdultDelta,AdultTime,LambPop,LambEH,Movi.,L1,L2,L3,L4,L5,L6,L7,L8,LambDelta,LambTime,blood.urea.nitrogen,creatinine,glucose,cholesterol,triglycerides,total.protein,albumin,total.bilirubin,creatine.kinase,GGT,AST..SGOT.,Na,K,Cl,Ca,P,Mg,TCO,SDH,X.HBA.adj,NEFAs.adj,anion.gap,total.WBC,totneu,totlym,totmon,toteos,totbas,prop.E.coli.killed..1.128.,PW.prop.activation,con.A.prop.activation,LPS.prop.activation,globulins
B1-0116,B1,5158,20456,UOP,,5,female,0,,10,10,10,10,10,10,10,10,FALSE,8,UOP,1.01E+15,0,10,10,10,10,10,0,0,0,FALSE,5,16,1.8,160,56,290,6.9,3,0.3,220,29,105,143,4.2,96,9.1,5.8,2.8,2.3,14.6,2.24,0.09,49,16600,7968,332,7968,332,0,NA,-0.09,0.017,0.481,3.9
B10-0116,B10,5165,20448,RSP,,4,female,1,capture related mort - don't include,11,0,0,0,0,0,0,0,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2.2,137,59,382,7.3,3.7,0.1,1248,32,225,151,5.8,102,10,7.7,2.8,3.5,29.4,1.81,0.2,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
B11-0116,B11,5166,20474,RSP,,3,female,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1.5,167,39,467,6.6,3.6,0.1,424,97,299,147,4.5,94,9.7,6.3,2.2,5.1,42,1.64,0.15,52,10000,3000,1300,5400,300,0,0.926,-0.124,0.052,-0.018,3
B12-0116,B12,5167,20483,RSP,,7,female,0,,10,10,10,10,10,10,10,10,FALSE,8,RSP,1.01E+15,1,10,10,0,0,10,10,10,10,FALSE,8,22,2.2,162,67,540,7.1,3.9,0.2,1313,72,207,151,5.3,95,10,7.4,2.9,3.6,31.9,1.9,0.26,58,16600,3486,4150,7470,1328,166,0.956,-0.23,-0.398,-0.136,3.2
B13-0116,B13,5168,20418,RSP,,10,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1.7,185,44,246,7.7,3.5,0.2,265,16,111,146,4.3,99,9.4,4.1,2.8,7.3,13.2,1.85,0.2,44,17200,11524,2408,2752,344,172,0.919,0.11,-0.161,-0.195,4.2
B14-0116,B14,5172,20447,RSP,,4,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1.7,231,43,348,6.9,3.5,0.1,1178,30,143,148,3.9,94,9.6,4.2,2.6,6.9,13.1,1.22,0.18,51,28200,20022,564,7614,0,0,0.734,0.041,-0.022,-0.187,3.4
B15-0116,B15,5171,20407,RSP,,4,female,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1.8,147,47,309,7.2,3.2,0.1,1236,24,135,144,4.3,99,9.3,3.9,2.4,8.8,14.3,2.63,0.53,41,11000,6930,0,3850,220,0,0.895,-0.095,-0.078,-0.504,4
B16-0116,B16,5169,20410,RSP,,4,male,?,collar stopped working    ,10,10,10,10,10,0,0,0,FALSE,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1.6,171,41,319,7.2,4,0.1,264,25,121,150,4,97,10.5,5.1,2.6,5.5,14.9,2.02,0.18,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2
B17-0116,B17,5178,20408,BSP,,10,male,1,capture related mort - don't include,11,0,0,0,0,0,0,0,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1.9,180,48,253,7.1,3.2,0.2,981,27,200,154,5.1,98,9.3,8.1,2.8,4.7,15.6,2.37,0.18,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
B18-0116,B18,5179,20477,BSP,,8,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2,157,46,312,7.5,3.8,0.2,564,33,149,156,4.4,101,10.4,6.9,2.8,2.8,14.9,2.98,0.27,57,8800,3608,264,4664,176,88,0.892,-0.077,0.007,-0.18,3.7
B19-0116,B19,5180,20452,BSP,,8,female,1,capture related mort - don't include,11,0,0,0,0,0,0,0,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1.5,152,45,344,7.8,3.5,0.1,335,31,160,153,4.6,100,9.7,9.3,3.3,2.2,21.9,3.4,0.15,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3
B2-0116,B2,5278,20398,UOP,,2,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,4840,110,4290,1760,0,NA,NA,NA,NA,NA
B20-0116,B20,5181,20400,BSP,,5,female,1,,10,10,10,10,11,0,0,0,TRUE,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1.5,109,59,373,7.1,3.5,0.1,652,58,348,155,5.1,103,9.6,7.6,3.1,2.2,124.5,3.44,0.12,55,15200,8360,1216,5624,0,0,0.922,-0.211,-0.025,-0.179,3.6
B21-0116,B21,5182,20405,BSP,,9,female,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1.5,99,52,286,7.2,3.4,0.2,293,41,283,150,5.3,103,9.3,7.6,2.9,3.6,36.6,3.11,0.11,49,9200,3036,92,4232,1656,184,0.888,-0.115,0.009,-0.245,3.8
B22-0116,B22,5153,20460,UOP,,7,female,0,,10,10,10,10,10,10,10,10,FALSE,8,UOP,1.01E+15,0,10,10,11,0,0,0,0,0,TRUE,3,25,1.9,148,57,158,9.1,4.3,0.2,228,31,221,157,5.8,101,10.8,7.6,3,2.1,27.6,2.29,0.13,60,31000,4650,12400,10850,3100,0,NA,0.116,0.125,-0.307,4.8
B23-0116,B23,5173,20489,RSP,,4,female,0,,10,10,10,10,10,10,10,10,FALSE,8,RSP,1.01E+15,1,10,11,0,0,0,0,0,0,TRUE,2,21,1.5,185,45,403,6.6,3.8,0.3,1956,19,134,148,4.3,100,10.1,2.7,2.4,8.6,NA,2.54,0.54,44,15000,7500,0,6900,600,0,0.811,-0.306,-0.342,-0.243,2.8
B24-0116,B24,5170,20414,RSP,,2,female,0,,10,10,10,10,10,10,10,10,FALSE,8,RSP,1.01E+15,1,10,10,10,11,0,0,0,0,TRUE,4,24,1.7,214,46,574,6.6,3.9,0.1,436,25,124,145,4,92,10,4.9,2.9,4.9,13.7,2.37,0.19,52,6200,2666,124,3224,186,0,0.965,-0.359,-0.481,-0.01,2.7
B25-0116,B25,5183,20458,TMP,,6,male,?,collar stopped working,10,10,10,10,10,10,10,0,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1.9,153,45,206,6.8,3.8,0.3,626,25,136,146,3.7,99,10.3,4.9,2.8,5.1,15.7,2.44,0.25,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
